locationId,location,city,country,utc,local,parameter,value,unit,latitude,longitude
5622,"NSIT Dwarka, Delhi - CPCB",Delhi,IN,2021-11-06T23:30:00+00:00,2021-11-07T05:00:00+05:30,pm25,200.8,µg/m³,28.60909,77.0325413
5630,"Shadipur, Delhi - CPCB",Delhi,IN,2021-11-06T23:30:00+00:00,2021-11-07T05:00:00+05:30,pm25,215.1,µg/m³,28.6514781,77.1473105
5610,"North Campus, DU, Delhi - IMD",Delhi,IN,2021-11-06T23:30:00+00:00,2021-11-07T05:00:00+05:30,pm25,431.01,µg/m³,28.6573814,77.1585447
6929,"Major Dhyan Chand National Stadium, Delhi - DPCC",Delhi,IN,2021-11-06T23:15:00+00:00,2021-11-07T04:45:00+05:30,pm25,360,µg/m³,28.611281,77.237738
5541,"Burari Crossing, Delhi - IMD",Delhi,IN,2021-11-06T23:15:00+00:00,2021-11-07T04:45:00+05:30,pm25,312.1,µg/m³,28.7256504,77.2011573
10831,"Rohini, Delhi - DPCC",Delhi,IN,2021-11-06T23:15:00+00:00,2021-11-07T04:45:00+05:30,pm25,484,µg/m³,28.732528,77.11992
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-11-06T23:15:00+00:00,2021-11-07T04:45:00+05:30,pm25,342,µg/m³,28.530785,77.271255
11607,"Lodhi Road, Delhi - IITM",Delhi,IN,2021-11-06T23:15:00+00:00,2021-11-07T04:45:00+05:30,pm25,1074.3,µg/m³,28.588333,77.221667
5509,"Anand Vihar, Delhi - DPCC",Delhi,IN,2021-11-06T23:15:00+00:00,2021-11-07T04:45:00+05:30,pm25,385,µg/m³,28.647622,77.315809
8917,"Ashok Vihar, Delhi - DPCC",Delhi,IN,2021-11-06T23:15:00+00:00,2021-11-07T04:45:00+05:30,pm25,471,µg/m³,28.695381,77.181665
8235,"Jahangirpuri, Delhi - DPCC",Delhi,IN,2021-11-06T23:15:00+00:00,2021-11-07T04:45:00+05:30,pm25,577,µg/m³,28.73282,77.170633
8915,"Wazirpur, Delhi - DPCC",Delhi,IN,2021-11-06T23:15:00+00:00,2021-11-07T04:45:00+05:30,pm25,481,µg/m³,28.699793,77.165453
6957,"Jawaharlal Nehru Stadium, Delhi - DPCC",Delhi,IN,2021-11-06T23:15:00+00:00,2021-11-07T04:45:00+05:30,pm25,340,µg/m³,28.58028,77.233829
6938,"Vivek Vihar, Delhi - DPCC",Delhi,IN,2021-11-06T23:15:00+00:00,2021-11-07T04:45:00+05:30,pm25,576,µg/m³,28.672342,77.31526
8365,"Nehru Nagar, Delhi - DPCC",Delhi,IN,2021-11-06T23:15:00+00:00,2021-11-07T04:45:00+05:30,pm25,320,µg/m³,28.56789,77.250515
5627,"CRRI Mathura Road, Delhi - IMD",Delhi,IN,2021-11-06T23:15:00+00:00,2021-11-07T04:45:00+05:30,pm25,321.56,µg/m³,28.5512005,77.2735737
6931,"Dwarka-Sector 8, Delhi - DPCC ",Delhi,IN,2021-11-06T23:15:00+00:00,2021-11-07T04:45:00+05:30,pm25,279,µg/m³,28.5710274,77.0719006
5634,"Lodhi Road, Delhi - IMD",Delhi,IN,2021-11-06T23:15:00+00:00,2021-11-07T04:45:00+05:30,pm25,286.67,µg/m³,28.5918245,77.2273074
6356,"Pusa, Delhi - DPCC",Delhi,IN,2021-11-06T23:15:00+00:00,2021-11-07T04:45:00+05:30,pm25,303.14,µg/m³,28.639645,77.146262
8475,"Sonia Vihar, Delhi - DPCC",Delhi,IN,2021-11-06T23:15:00+00:00,2021-11-07T04:45:00+05:30,pm25,514,µg/m³,28.710508,77.249485
10489,"ITO, Delhi - CPCB",Delhi,IN,2021-11-06T23:15:00+00:00,2021-11-07T04:45:00+05:30,pm25,451,µg/m³,28.628624,77.24106
6932,"Alipur, Delhi - DPCC",Delhi,IN,2021-11-06T23:15:00+00:00,2021-11-07T04:45:00+05:30,pm25,494,µg/m³,28.815329,77.15301
10488,"Najafgarh, Delhi - DPCC",Delhi,IN,2021-11-06T23:15:00+00:00,2021-11-07T04:45:00+05:30,pm25,204,µg/m³,28.570173,76.933762
6960,"Patparganj, Delhi - DPCC",Delhi,IN,2021-11-06T23:15:00+00:00,2021-11-07T04:45:00+05:30,pm25,390,µg/m³,28.623763,77.287209
6359,"IHBAS, Dilshad Garden, Delhi - CPCB",Delhi,IN,2021-11-06T23:15:00+00:00,2021-11-07T04:45:00+05:30,pm25,428.9,µg/m³,28.6811736,77.3025234
5626,"DTU, Delhi - CPCB",Delhi,IN,2021-11-06T23:15:00+00:00,2021-11-07T04:45:00+05:30,pm25,356.1,µg/m³,28.7500499,77.1112615
5586,"Sirifort, Delhi - CPCB",Delhi,IN,2021-11-06T23:15:00+00:00,2021-11-07T04:45:00+05:30,pm25,325,µg/m³,28.5504249,77.2159377
10485,"Narela, Delhi - DPCC",Delhi,IN,2021-11-06T23:15:00+00:00,2021-11-07T04:45:00+05:30,pm25,515,µg/m³,28.822836,77.101981
8472,"Bawana, Delhi - DPCC",Delhi,IN,2021-11-06T23:15:00+00:00,2021-11-07T04:45:00+05:30,pm25,465,µg/m³,28.7762,77.051074
10486,"Mundka, Delhi - DPCC",Delhi,IN,2021-11-06T23:15:00+00:00,2021-11-07T04:45:00+05:30,pm25,364,µg/m³,28.684678,77.076574
6358,"Mandir Marg, Delhi - DPCC",Delhi,IN,2021-11-06T23:00:00+00:00,2021-11-07T04:30:00+05:30,pm25,394,µg/m³,28.636429,77.201067
6357,"Punjabi Bagh, Delhi - DPCC",Delhi,IN,2021-11-06T23:00:00+00:00,2021-11-07T04:30:00+05:30,pm25,445,µg/m³,28.674045,77.131023
7044,"R K Puram, Delhi - DPCC",Delhi,IN,2021-11-06T23:00:00+00:00,2021-11-07T04:30:00+05:30,pm25,89,µg/m³,28.563262,77.186937
6359,"IHBAS, Dilshad Garden, Delhi - CPCB",Delhi,IN,2021-11-06T23:00:00+00:00,2021-11-07T04:30:00+05:30,pm25,428.9,µg/m³,28.6811736,77.3025234
5610,"North Campus, DU, Delhi - IMD",Delhi,IN,2021-11-06T23:00:00+00:00,2021-11-07T04:30:00+05:30,pm25,436.79,µg/m³,28.6573814,77.1585447
