locationId,value,latitude,longitude,date,time
10488,204.0,28.570173,76.933762,2021-11-06,22:45:00
8917,471.0,28.695381,77.181665,2021-11-06,22:45:00
10486,395.0,28.684678,77.076574,2021-11-06,22:45:00
5586,325.0,28.5504249,77.2159377,2021-11-06,22:45:00
5634,298.4,28.5918245,77.2273074,2021-11-06,22:45:00
5541,315.31,28.7256504,77.2011573,2021-11-06,22:45:00
8472,383.0,28.7762,77.051074,2021-11-06,22:45:00
6929,374.0,28.611281,77.237738,2021-11-06,22:45:00
6938,583.0,28.672342,77.31526,2021-11-06,22:45:00
5610,442.19,28.6573814,77.1585447,2021-11-06,22:30:00
5630,232.7,28.6514781,77.1473105,2021-11-06,22:30:00
5622,233.7,28.60909,77.0325413,2021-11-06,22:30:00
11603,276.6,28.656756,77.227234,2021-11-06,22:15:00
10486,395.0,28.684678,77.076574,2021-11-06,22:15:00
10831,466.0,28.732528,77.11992,2021-11-06,22:15:00
8235,537.0,28.73282,77.170633,2021-11-06,22:15:00
5509,412.0,28.647622,77.315809,2021-11-06,22:15:00
5570,213.63,28.4706914,77.1099364,2021-11-06,22:15:00
5627,402.93,28.5512005,77.2735737,2021-11-06,22:15:00
5634,315.43,28.5918245,77.2273074,2021-11-06,22:15:00
8472,383.0,28.7762,77.051074,2021-11-06,22:15:00
5586,313.0,28.5504249,77.2159377,2021-11-06,22:15:00
6957,345.0,28.58028,77.233829,2021-11-06,22:15:00
6938,583.0,28.672342,77.31526,2021-11-06,22:15:00
5650,198.54,28.5627763,77.1180053,2021-11-06,22:15:00
6934,335.0,28.498571,77.26484,2021-11-06,22:15:00
6929,374.0,28.611281,77.237738,2021-11-06,22:15:00
10485,512.0,28.822836,77.101981,2021-11-06,22:15:00
10484,335.0,28.531346,77.190156,2021-11-06,22:15:00
8475,554.0,28.710508,77.249485,2021-11-06,22:15:00
8915,528.0,28.699793,77.165453,2021-11-06,22:15:00
8365,338.0,28.56789,77.250515,2021-11-06,22:15:00
6932,523.0,28.815329,77.15301,2021-11-06,22:15:00
6356,317.27,28.639645,77.146262,2021-11-06,22:15:00
6931,279.0,28.5710274,77.0719006,2021-11-06,22:15:00
10488,248.0,28.570173,76.933762,2021-11-06,22:15:00
5626,332.7,28.7500499,77.1112615,2021-11-06,22:15:00
8917,488.0,28.695381,77.181665,2021-11-06,22:15:00
5622,262.9,28.60909,77.0325413,2021-11-06,22:00:00
5630,269.4,28.6514781,77.1473105,2021-11-06,22:00:00
8239,385.0,28.530785,77.271255,2021-11-06,22:00:00
6960,469.0,28.623763,77.287209,2021-11-06,22:00:00
5610,412.4,28.6573814,77.1585447,2021-11-06,22:00:00
6359,369.0,28.6811736,77.3025234,2021-11-06,22:00:00
6929,423.0,28.611281,77.237738,2021-11-06,21:45:00
5626,332.7,28.7500499,77.1112615,2021-11-06,21:45:00
6934,382.0,28.498571,77.26484,2021-11-06,21:45:00
6359,369.0,28.6811736,77.3025234,2021-11-06,21:45:00
10488,248.0,28.570173,76.933762,2021-11-06,21:45:00
8917,488.0,28.695381,77.181665,2021-11-06,21:45:00
8235,500.0,28.73282,77.170633,2021-11-06,21:45:00
8915,495.0,28.699793,77.165453,2021-11-06,21:45:00
5509,507.0,28.647622,77.315809,2021-11-06,21:45:00
8365,337.0,28.56789,77.250515,2021-11-06,21:45:00
6932,523.0,28.815329,77.15301,2021-11-06,21:45:00
5541,375.65,28.7256504,77.2011573,2021-11-06,21:45:00
6960,469.0,28.623763,77.287209,2021-11-06,21:45:00
11603,289.8,28.656756,77.227234,2021-11-06,21:45:00
8239,385.0,28.530785,77.271255,2021-11-06,21:45:00
10486,383.0,28.684678,77.076574,2021-11-06,21:45:00
5634,289.33,28.5918245,77.2273074,2021-11-06,21:45:00
7044,86.0,28.563262,77.186937,2021-11-06,21:45:00
10831,437.0,28.732528,77.11992,2021-11-06,21:45:00
